Title,Authors,Year,Source title,Abstract,Author Keywords,Index Keywords,Publisher
Interactions between microplastics and unit processes of wastewater treatment plants: A critical review,"Nandakumar V.K., Palani S.G., Varma M.R.R.",2022,Water Science and Technology,"Microplastics are classified as emerging pollutants of the aquatic environment, necessitating a comprehensive understanding of their properties for successful management and treatment. Wastewater treatment plants (WWTPs) serve as point sources of microplastic pollution of the aquatic and terrestrial (eco)systems. The first part of this review explores the basic definitions of microplastics, sources, types, physical and chemical methods of identifying and characterizing microplastics in WWTPs. The next part of the review details the occurrence of microplastics in various unit processes of WWTPs and sewage sludge. Followed by this, various methods for removing microplastics from wastewater are presented. Finally, the research gaps in this area were identified, and suggestions for future perspectives were provided. © 2022 IWA Publishing. All rights reserved.",Microplastics; Unit process; Wastewater; Wastewater treatment plant; Water pollution,"Reclamation; Sewage pumping plants; Sewage sludge; Toxicity; Water pollution; Water treatment plants; Aquatic environments; Classifieds; Critical review; ECO systems; Emerging pollutants; Microplastics; Point-sources; Property; Successful management; Waste water treatment plants; Wastewater treatment; microplastic; plastic; plastic; sewage; wastewater; wastewater treatment; wastewater treatment plant; water pollution; chemical composition; digestion; filtration; microplastic pollution; Review; sewage; sludge management; waste water treatment plant; water pollution; water sampling; environmental monitoring; water management; water pollutant; Environmental Monitoring; Microplastics; Plastics; Water Pollutants, Chemical; Water Purification",IWA Publishing
"Genomic Characterization of Parengyodontium torokii sp. nov., a Biofilm-Forming Fungus Isolated from Mars 2020 Assembly Facility","Parker C.W., Teixeira M.M., Singh N.K., Raja H.A., Cank K.B., Spigolon G., Oberlies N.H., Barker B.M., Stajich J.E., Mason C.E., Venkateswaran K.",2022,Journal of Fungi,"A fungal strain (FJII-L10-SW-P1) was isolated from the Mars 2020 spacecraft assembly facility and exhibited biofilm formation on spacecraft-qualified Teflon surfaces. The reconstruction of a six-loci gene tree (ITS, LSU, SSU, RPB1 and RPB2, and TEF1) using multi-locus sequence typing (MLST) analyses of the strain FJII-L10-SW-P1 supported a close relationship to other known Parengyodontium album subclade 3 isolates while being phylogenetically distinct from subclade 1 strains. The zig-zag rachides morphology of the conidiogenous cells and spindle-shaped conidia were the distinct morphological characteristics of the P. album subclade 3 strains. The MLST data and morphological analysis supported the conclusion that the P. album subclade 3 strains could be classified as a new species of the genus Parengyodontium and placed in the family Cordycipitaceae. The name Parengyodontium torokii sp. nov. is proposed to accommodate the strain, with FJII-L10-SW-P1 as the holotype. The genome of the FJII-L10-SW-P1 strain was sequenced, annotated, and the secondary metabolite clusters were identified. Genes predicted to be responsible for biofilm formation and adhesion to surfaces were identified. Homology-based assignment of gene ontologies to the predicted proteome of P. torokii revealed the presence of gene clusters responsible for synthesizing several metabolic compounds, including a cytochalasin that was also verified using traditional metabolomic analysis. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Biofilm; Fungi; Genomics; Mars 2020 mission; Metabolomics; Morphological analysis; Phylogenetic analysis,,MDPI
Different Metabolomic and Proteomic Profiles of Cerebrospinal Fluid in Ventricular and Lumbar Compartments in Relation to Leptomeningeal Metastases,"Kwon J.-W., Im J.H., Lee K.-Y., Yoo B.C., Lee J.H., Kim K.-H., Kim J.H., Shin S.H., Yoo H., Gwak H.-S.",2022,Metabolites,"The different molecular profiles of cerebrospinal fluid (CSF) between ventricular and lumbar compartments remain elusive, especially in the context of leptomeningeal metastasis (LM), which affects CSF flow. We evaluated CSF metabolomic and proteomic profiles based on the compartments and the diagnosis of spinal LM, proved by MRI from 20 paired ventricular and lumbar CSF samples of LM patients, including 12 spinal LM (+) samples. In metabolome analysis, 9512 low-mass ions (LMIs) were identified—7 LMIs were abundant in all lumbar versus paired ventricular CSF samples, and 3 LMIs were significantly abundant in all ventricular CSF. In comparisons between spinal LM (+) CSF and LM (−) CSF, 105 LMIs were discriminative for spinal LM (+) CSF. In proteome analysis, a total of 1536 proteins were measured. A total of 18 proteins, including complement C3, were more highly expressed in all lumbar CSF, compared with paired ventricular CSF, while 82 proteins, including coagulation factor V, were higher in the ventricular CSF. Of 37 discriminative proteins, including uteroglobin and complement component C8 gamma chain, 4 were higher in all spinal LM (+) CSF versus spinal LM (−) CSF. We further evaluated metabolic pathways associated with these discriminative proteins using the Gene Ontology database. We found that 16/17 spinal LM (+) pathways, including complement activation, were associated with lumbar discriminative proteins, whereas only 2 pathways were associated with ventricular-discriminative proteins. In conclusion, we determined that metabolite and protein profiles differed between paired lumbar and ventricular CSF samples. The protein profiles of spinal LM (+) CSF showed more similarity with the lumbar CSF than the ventricular CSF. Thus, we suggest that CSF LMIs and proteins could reflect LM disease activity and that LM-associated differences in CSF are more likely to be present in the lumbar compartment. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Cerebrospinal fluid; Leptomeningeal metastasis; Metabolomics; Proteins,biological marker; dichloromethane; nitrogen; peptide; adult; aged; Article; bioinformatics; breast cancer; carcinomatous meningitis; centrifugation; cerebrospinal fluid; cerebrospinal fluid analysis; chemotherapy; female; gene expression; gene ontology; human; liquid chromatography-mass spectrometry; lumbar puncture; major clinical study; male; mass fragmentography; melanoma; metabolome; metabolomics; non small cell lung cancer; ovary cancer; perfusion; principal component analysis; protein analysis; protein phosphorylation; proteomics; signal transduction,MDPI
"Recent Advancements in Polysulfone Based Membranes for Fuel Cell (PEMFCs, DMFCs and AMFCs) Applications: A Critical Review","Vinodh R., Atchudan R., Kim H.-J., Yi M.",2022,Polymers,"In recent years, ion electrolyte membranes (IEMs) preparation and properties have attracted fabulous attention in fuel cell usages owing to its high ionic conductivity and chemical resistance. Currently, perfluorinatedsulfonicacid (PFSA) membrane has been widely employed in the membrane industry in polymer electrolyte membrane fuel cells (PEMFCs); however, Nafion™ suffers reduced proton conductivity at a higher temperature, requiring noble metal catalyst (Pt, Ru, and Pt-Ru), and catalyst poisoning by CO. Non-fluorinated polymers are a promising substitute. Polysulfone (PSU) is an aromatic polymer with excellent characteristics that have attracted membrane scientists in recent years. The present review provides an up-to-date development of PSU based electrolyte membranes and its composites for PEMFCs, alkaline membrane fuel cells (AMFCs), and direct methanol fuel cells (DMFCs) application. Various fillers encapsulated in the PEM/AEM moiety are appraised according to their preliminary characteristics and their plausible outcome on PEMFC/DMFC/AMFC. The key issues associated with enhancing the ionic conductivity and chemical stability have been elucidated as well. Furthermore, this review addresses the current tasks, and forthcoming directions are briefly summarized of PEM/AEMs for PEMFCs, DMFCs, AMFCs. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",AMFCs; DMFCs; Fillers; Inorganic/organic hybrid membranes; Nafion™; Polymer electrolyte membrane; Polysulfone; Sulfonation,Alkaline fuel cells; Alkalinity; Catalyst poisoning; Chemical stability; Fillers; Gas fuel purification; Ionic conductivity; Membranes; Methanol fuels; Polyelectrolytes; Precious metals; Proton exchange membrane fuel cells (PEMFC); Solid electrolytes; Alkaline membrane fuel cells; Direct-methanol fuel cells; Electrolyte membrane; Fuel cell application; Inorganic-organic hybrid membranes; Nafions; Nafion™; Polymer electrolyte membranes; Polysulphone; Sulphonation; Direct methanol fuel cells (DMFC),MDPI
"""non-invasive"" portable laser ablation sampling for lead isotope analysis of archaeological silver: A comparison with bulk and: In situ laser ablation techniques","Merkel S.W., D'Imporzano P., Van Zuilen K., Kershaw J., Davies G.R.",2022,Journal of Analytical Atomic Spectrometry,"The main factor restricting lead isotope analysis of metals from museum collections is the requirement for physical material. Hence, there are major incentives for developing minimally invasive methods for lead isotope analysis that are accurate and precise enough to reveal historical information about artefacts and their origin. Portable laser ablation (pLA), collecting microscopic samples on Teflon filters, has four key benefits. It produces no visual impact to the artefacts, does not require transport of artefacts to laboratory facilities, there are no artefact size restrictions, and samples are processed under clean laboratory conditions allowing Pb purification prior to measurement by solution MC-ICPMS. To validate the efficacy of the pLA technique on silver, nine matrixed-matched commercial, in-house and archaeological reference materials were sampled and analysed multiple times (9-10). The pLA mean analyses (±2SD) were all consistent with inter-laboratory bulk analyses. The digestion of sample filters produces precisions that are consistently more than five-times better than in situ nsLA-MC-ICPMS and are the same order of magnitude expected for bulk samples processed in different laboratories. This journal is © The Royal Society of Chemistry.",,Inductively coupled plasma mass spectrometry; Isotopes; Laboratories; Mass spectrometers; Silver; Historical information; Invasive methods; Isotope analysis; Laser ablation technique; Lasers ablations; Lead isotope; Minimally invasive; Museum collections; Teflon filters; Visual impacts; Laser ablation,Royal Society of Chemistry
Multifunctional Membranes—A Versatile Approach for Emerging Pollutants Removal,"Matei E., Covaliu-Mierla C.I., Țurcanu A.A., Râpa M., Predescu A.M., Predescu C.",2022,Membranes,"This paper presents a comprehensive literature review surveying the most important polymer materials used for electrospinning processes and applied as membranes for the removal of emerging pollutants. Two types of processes integrate these membrane types: Separation processes, where electrospun polymers act as a support for thin film composites (TFC), and adsorption as single or coupled processes (photo-catalysis, advanced oxidation, electrochemical), where a functionalization step is essential for the electrospun polymer to improve its properties. Emerging pollutants (EPs) released in the environment can be efficiently removed from water systems using electrospun membranes. The relevant results regarding removal efficiency, adsorption capacity, and the size and porosity of the membranes and fibers used for different EPs are described in detail. © 2021 by the authors.",Electrospinning; Emerging pollutants; Membranes,Electrospinning; Image enhancement; Water pollution; Electrospinning process; Electrospun polymers; Emerging pollutants; Literature reviews; Membrane types; Pollutants removal; Polymer materials; Separation process; Single process; Thin film composites; Membranes,MDPI
"Recovery of Palladium by Extraction-electrodeposition Using N, N, N’, N’, N”, N”- Hexaoctyl-nitrilotriacetamide","Kinoshita R., Matsumiya M., Sasaki Y.",2022,Solvent Extraction and Ion Exchange,"It is essential to develop solvent extraction (SX), and electrodeposition (ED) processes for palladium to reduce the volume of acid and organic media. In this study, the extraction reaction of Pd(II) in chloride media using of N, N, N’, N’, N”, N”-hexaoctyl-nitrilotriacetamide (NTAamide(C8)) as a novel extractant has been demonstrated. Three diluents with high dielectric constants (acetophenone (AP), 1,2-dichloroethane (DCE), and 1-octanol (OC)) were used for the solvent extraction reaction. The slope analysis indicated that the anion exchange extraction reaction of Pd(II) was consistent with an approximately 2:1 stoichiometry for the NTAamide(C8)/AP and NTAamide(C8)/DCE systems, and 1:1 for NTAamide(C8)/OC. Moreover, the ED behavior of the extracted Pd(II) complex was investigated using cyclic voltammetry (CV). Palladium reduction was found to be an irreversible process based on analysis of the standard rate constant. A semi-integral analysis of the voltammogram determined the diffusion coefficients of the extracted Pd(II) complex in the AP, DCE, and OC systems to be 3.7 ± 0.1 × 10−10, 2.8 ± 0.1 × 10−10 and 1.5 ± 0.2 × 10−10 m2 s−1, respectively. Furthermore, consecutive extraction-electrodeposition processes using the NTAamide(C8)/AP system were carried out for five cycles. High extraction percentage (E &gt; 91%) and current efficiency (ε &gt; 83.1%) were attained in all cycles. The electrodeposits recovered from the extraction-electrodeposition process were identified as Pd metal through X-ray photoelectron spectroscopy (XPS) and X-ray diffraction (XRD) analyses. © 2022 Taylor & Francis Group, LLC.",Chloride media; extraction-electrodeposition; NTAamide(C8); palladium,Chlorine compounds; Cyclic voltammetry; Electrodeposition; Electrodes; Metal analysis; Metal recovery; Palladium compounds; Rate constants; Solvent extraction; Statistical mechanics; X ray photoelectron spectroscopy; 1-octanol; Acetophenones; Acid media; Chloride media; Dichloroethane; Electrodeposition process; Extraction reaction; Extraction-electrodeposition; Ntaamide(c8); Organic media; Ketones,Taylor and Francis Ltd.
The transplacental transfer efficiency of per- and polyfluoroalkyl substances (PFAS): a first meta-analysis,"Appel M., Forsthuber M., Ramos R., Widhalm R., Granitzer S., Uhl M., Hengstschläger M., Stamm T., Gundacker C.",2022,Journal of Toxicology and Environmental Health - Part B: Critical Reviews,"Per- and polyfluorinated substances (PFAS), ubiquitously present in the environment and biota, are transferred to the fetus via the placenta. PFAS can be distinguished, among other things, by their different carbon chain lengths and functional groups. The aim of this study was to provide comprehensive evidence on PFAS transfer rates across the human placental barrier by means of a meta-analysis based upon a systematic review. The available literature up to April 2021 was reviewed and transplacental transfer efficiencies (TTEs) of PFAS assessed. A total of 39 studies reporting data on 20 PFAS were included in the systematic review. Of these, 20 studies with data on 19 compounds were included in the meta-analysis. Comprehensive Meta-Analysis (CMA v3.0) was used for quantitative, statistical analyses with random effects models. A curvilinear relationship was found with short and long chains of perfluorocarboxylic acids (PFCAs) exhibiting higher TTE than compounds with intermediate chain length. Among the less well studied PFAS, perfluorohexanoic acid (PFHxA), 6:2 fluorotelomersulfonic acid (6:2 FTS) and perfluorobutanoic acid (PFBA) stood out the most with a high TEEs. The dependence of TTEs on chain length and functional group is clearly shown in this first meta-analysis on PFAS transfer across the human placenta. More data on effects of less well studied PFAS in pregnant women and neonates are needed to assess the potential risk for fetal exposure. © 2021 The Author(s). Published with license by Taylor & Francis Group, LLC.",meta-analysis; per- and polyfluorinated substances; PFAS; placenta; transplacental transfer efficiency,"alkyl ether; carboxylic acid derivative; decanoic acid derivative; functional group; perfluorodecanoic acid; perfluorohexanoic acid; perfluoroundecanoic acid; sulfonic acid derivative; fluorocarbon; fluorotelomer sulfonic acids; hexanoic acid; perfluorobutyric acid; female; human; length; placenta; placental transfer; quantitative analysis; Review; systematic review; adverse event; chemistry; environmental exposure; meta analysis; metabolism; newborn; pollutant; pregnancy; prenatal exposure; Caproates; Environmental Exposure; Environmental Pollutants; Female; Fluorocarbons; Humans; Infant, Newborn; Placenta; Pregnancy; Prenatal Exposure Delayed Effects",Taylor and Francis Ltd.
"PFAS exposure of humans, animals and the environment: Protocol of an evidence review map and bibliometric analysis","Vendl C., Taylor M.D., Bräunig J., Gibson M.J., Hesselson D., Gregory Neely G., Lagisz M., Nakagawa S.",2022,Environment International,"Background: Per- and polyfluoroalkyl (PFAS) substances are a group of anthropogenic organic chemicals. PFAS have numerous applications in the industrial and commercial fields. They have become abundant in the environment and have been detected in the blood of humans and animals. PFAS exposure likely increases the risk of certain diseases. In recent years, there has been a steep rise in related primary and secondary articles. Objectives: We aim to collate narrative and systematic reviews including both qualitative and quantitative synthesis on biological, environmental, or medical aspects of PFAS exposure and burdens, and to create an evidence review map to fulfil three main objectives. 1) Mappingto reveal what evidence on PFAS has been systematically reviewed and where synthesis may be needed. 2) Bibliometrics: to characterise the interdisciplinarity, independence and connectedness of the reviews. 3) Critical appraisal: to assess the included reviews for the reliability of conclusions and methodological transparency. This overview of reviews will inform future research and policy making. Search and study eligibility: We will perform a systematic search on Scopus, Web of Science, PubMed, and the ‘grey literature’. To be included in the map, a study must be a review from the systematic review family and focus on at least one of predefined 31 PFAS. We will limit inclusions to peer-reviewed publications, pre-prints, and theses without any language restrictions. At least two authors will scan title, abstract and keywords, followed by full-text screening of included reviews. Critical appraisal of reviews and synthesis methods: We will assess each review of the systematic review family referencing the AMSTAR2 checklist. We will collect information on conflict-of-interest statements, funding sources and availability of raw data and analysis code. We will extract relevant data from full texts and bibliographic records, conduct bibliometric analyses, and display findings as tables, figures and a narrative synopsis. © 2021 The Authors",Ecotoxicology; PFOA; PFOS; ‘Overview of reviews’; ‘Systematic review’; ‘Umbrella review’,Abstracting; Diagnosis; Organic chemicals; Anthropogenic organic chemicals; Bibliometrics analysis; Eco-toxicology; Map analysis; PFOA; PFOS; Systematic Review; ‘overview of review’; ‘systematic review’; ‘umbrella review’; Animals,Elsevier Ltd
"Per- and polyfluoroalkyl substance (PFAS) exposure, maternal metabolomic perturbation, and fetal growth in African American women: A meet-in-the-middle approach","Chang C.-J., Barr D.B., Ryan P.B., Panuwet P., Smarr M.M., Liu K., Kannan K., Yakimavets V., Tan Y., Ly V., Marsit C.J., Jones D.P., Corwin E.J., Dunlop A.L., Liang D.",2022,Environment International,"Background: Prenatal exposures to per- and polyfluoroalkyl substances (PFAS) have been linked to reduced fetal growth. However, the detailed molecular mechanisms remain largely unknown. This study aims to investigate biological pathways and intermediate biomarkers underlying the association between serum PFAS and fetal growth using high-resolution metabolomics in a cohort of pregnant African American women in the Atlanta area, Georgia. Methods: Serum perfluorohexane sulfonic acid (PFHxS), perfluorooctane sulfonic acid (PFOS), perfluorooctanoic acid (PFOA), and perfluorononanoic acid (PFNA) measurements and untargeted serum metabolomics profiling were conducted in 313 pregnant African American women at 8–14 weeks gestation. Multiple linear regression models were applied to assess the associations of PFAS with birth weight and small-for-gestational age (SGA) birth. A high-resolution metabolomics workflow including metabolome-wide association study, pathway enrichment analysis, and chemical annotation and confirmation with a meet-in-the-middle approach was performed to characterize the biological pathways and intermediate biomarkers of the PFAS-fetal growth relationship. Results: Each log2-unit increase in serum PFNA concentration was significantly associated with higher odds of SGA birth (OR = 1.32, 95% CI 1.07, 1.63); similar but borderline significant associations were found in PFOA (OR = 1.20, 95% CI 0.94, 1.49) with SGA. Among 25,516 metabolic features extracted from the serum samples, we successfully annotated and confirmed 10 overlapping metabolites associated with both PFAS and fetal growth endpoints, including glycine, taurine, uric acid, ferulic acid, 2-hexyl-3-phenyl-2-propenal, unsaturated fatty acid C18:1, androgenic hormone conjugate, parent bile acid, and bile acid-glycine conjugate. Also, we identified 21 overlapping metabolic pathways from pathway enrichment analyses. These overlapping metabolites and pathways were closely related to amino acid, lipid and fatty acid, bile acid, and androgenic hormone metabolism perturbations. Conclusion: In this cohort of pregnant African American women, higher serum concentrations of PFOA and PFNA were associated with reduced fetal growth. Perturbations of biological pathways involved in amino acid, lipid and fatty acid, bile acid, and androgenic hormone metabolism were associated with PFAS exposures and reduced fetal growth, and uric acid was shown to be a potential intermediate biomarker. Our results provide opportunities for future studies to develop early detection and intervention for PFAS-induced fetal growth restriction. © 2021",Biomarkers; Fetal growth; High-resolution metabolomics; PFAS,Amino acids; Chemical analysis; Linear regression; Metabolism; Metabolites; Unsaturated fatty acids; African american women; Bile acid; Biological pathways; Fetal growth; Gestational age; High-resolution metabolomics; Meet-in-the-middle; Perfluorononanoic acids; Perfluorooctanoic acid; Polyfluoroalkyl substances; Biomarkers; 2 hexyl 3 phenyl 2 propenal; aldehyde; androgen; bile acid; ferulic acid; glycine; organofluorine derivative; perfluoroalkyl substance; perfluorohexanesulfonic acid; perfluorononanoic acid; perfluorooctanesulfonic acid; perfluorooctanoic acid; polyfluoroalkyl substance; taurine; unclassified drug; unsaturated fatty acid; uric acid; alkanesulfonic acid; fluorocarbon; biomarker; metabolism; metabolite; organohalogen; pregnancy; serum; adult; African American; amino acid metabolism; Article; bile acid metabolism; birth weight; cohort analysis; controlled study; fatty acid metabolism; female; fetus; fetus growth; Georgia (U.S.); gestation period; hormone metabolism; human; infant; lipid metabolism; low birth weight; major clinical study; male; metabolite; metabolome; metabolomics; pregnancy; prematurity; prenatal exposure; risk factor; small for date infant; fetus development; maternal exposure; metabolomics; pollutant; pregnancy; toxicity; Atlanta; Georgia; United States; Atlanta; African Americans; Alkanesulfonic Acids; Environmental Pollutants; Female; Fetal Development; Fluorocarbons; Humans; Maternal Exposure; Metabolomics; Pregnancy,Elsevier Ltd
Prenatal exposure to persistent organic pollutants and childhood obesity: A systematic review and meta-analysis of human studies,"Stratakis N., Rock S., La Merrill M.A., Saez M., Robinson O., Fecht D., Vrijheid M., Valvi D., Conti D.V., McConnell R., Chatzi V.L.",2022,Obesity Reviews,"We conducted a systematic review and meta-analysis of the associations between prenatal exposure to persistent organic pollutants (POPs) and childhood obesity. We focused on organochlorines (dichlorodiphenyltrichloroethane [DDT], dichlorodiphenyldichloroethylene [DDE], hexachlorobenzene [HCB], and polychlorinated biphenyls [PCBs]), perfluoroalkyl and polyfluoroalkyl substances (PFAS), and polybrominated diphenyl ethers (PBDEs) that are the POPs more widely studied in environmental birth cohorts so far. We search two databases (PubMed and Embase) through July/09/2021 and identified 33 studies reporting associations with prenatal organochlorine exposure, 21 studies reporting associations with prenatal PFAS, and five studies reporting associations with prenatal PBDEs. We conducted a qualitative review. Additionally, we performed random-effects meta-analyses of POP exposures, with data estimates from at least three prospective studies, and BMI-z. Prenatal DDE and HCB levels were associated with higher BMI z-score in childhood (beta: 0.12, 95% CI: 0.03, 0.21; I2: 28.1% per study-specific log increase of DDE and beta: 0.31, 95% CI: 0.09, 0.53; I2: 31.9% per study-specific log increase of HCB). No significant associations between PCB-153, PFOA, PFOS, or pentaPBDEs with childhood BMI were found in meta-analyses. In individual studies, there was inconclusive evidence that POP levels were positively associated with other obesity indicators (e.g., waist circumference). © 2021 World Obesity Federation",,"2,2',4,4' tetrabromodiphenyl ether; 2,2',4,4',5,5' hexabromodiphenyl ether; 2,2',4,4',5,5' hexachlorobiphenyl; chlorphenotane; hexachlorobenzene; organochlorine derivative; polybrominated diphenyl ether; polychlorinated biphenyl; abdominal obesity; Article; biological monitoring; body fat; body height; body mass; child; child growth; childhood obesity; gestational age; human; meta analysis; outcome assessment; persistent organic pollutant; pregnancy outcome; prenatal exposure; sex difference; systematic review; waist circumference",John Wiley and Sons Inc
Mitochondrial dysfunction governs immunometabolism in leukocytes of patients with acute-on-chronic liver failure,"Zhang I.W., Curto A., López-Vicario C., Casulleras M., Duran-Güell M., Flores-Costa R., Colsch B., Aguilar F., Aransay A.M., Lozano J.J., Hernández-Tejero M., Toapanta D., Fernández J., Arroyo V., Clària J.",2022,Journal of Hepatology,"Background &amp; Aims: Patients with acute-on-chronic liver failure (ACLF) present a systemic hyperinflammatory response associated with increased circulating levels of small-molecule metabolites. To investigate whether these alterations reflect inadequate cell energy output, we assessed mitochondrial morphology and central metabolic pathways with emphasis on the tricarboxylic acid (TCA) cycle in peripheral leukocytes from patients with acutely decompensated (AD) cirrhosis, with and without ACLF. Methods: The study included samples from patients with AD cirrhosis (108 without and 128 with ACLF) and 41 healthy individuals. Leukocyte mitochondrial ultrastructure was visualized by transmission electron microscopy and cytosolic and mitochondrial metabolic fluxes were determined by assessing NADH/FADH2 production from various substrates. Plasma GDF15 and FGF21 were determined by Luminex and acylcarnitines by LC-MS/MS. Gene expression was analyzed by RNA-sequencing and PCR-based glucose metabolism profiler array. Results: Mitochondrial ultrastructure in patients with advanced cirrhosis was distinguished by cristae rarefication and swelling. The number of mitochondria per leukocyte was higher in patients, accompanied by a reduction in their size. Increased FGF21 and C6:0- and C8:0-carnitine predicted mortality whereas GDF15 strongly correlated with a gene set signature related to leukocyte activation. Metabolic flux analyses revealed increased energy production in mononuclear leukocytes from patients with preferential involvement of extra-mitochondrial pathways, supported by upregulated expression of genes encoding enzymes of the glycolytic and pentose phosphate pathways. In patients with ACLF, mitochondrial function analysis uncovered break-points in the TCA cycle at the isocitrate dehydrogenase and succinate dehydrogenase level, which were bridged by anaplerotic reactions involving glutaminolysis and nucleoside metabolism. Conclusions: Our findings provide evidence at the cellular, organelle and biochemical levels that severe mitochondrial dysfunction governs immunometabolism in leukocytes from patients with AD cirrhosis and ACLF. Lay summary: Patients at advanced stages of liver disease have dismal prognosis due to vital organ failures and the lack of treatment options. In this study, we report that the functioning of mitochondria, which are known as the cell powerhouse, is severely impaired in leukocytes of these patients, probably as a consequence of intense inflammation. Mitochondrial dysfunction is therefore a hallmark of advanced liver disease. © 2021 The Authors",ACLF; acute decompensated cirrhosis; immune cells; metabolic phenotype; mitochondria; RNA-seq,"5,10 methylenetetrahydrofolate reductase (FADH2); carnitine; fibroblast growth factor 21; growth differentiation factor 15; isocitrate dehydrogenase; reduced nicotinamide adenine dinucleotide; succinate dehydrogenase; immunologic factor; acute on chronic liver failure; Article; cell ultrastructure; citric acid cycle; controlled study; decompensated liver cirrhosis; disorders of mitochondrial functions; gene expression; glucose metabolism; glycolysis; human; human cell; leukocyte metabolism; liver cytosol; liver mitochondrion; metabolic flux analysis; mitochondrial volume; mitochondrion swelling; mononuclear cell; mortality; pentose phosphate cycle; polymerase chain reaction; RNA sequencing; transmission electron microscopy; acute on chronic liver failure; complication; disorders of mitochondrial functions; immunology; leukocyte; metabolism; microbiology; pathophysiology; procedures; tandem mass spectrometry; Acute-On-Chronic Liver Failure; Humans; Immunologic Factors; Leukocytes; Leukocytes, Mononuclear; Mitochondrial Diseases; Tandem Mass Spectrometry",Elsevier B.V.
A review of environmental metabolism disrupting chemicals and effect biomarkers associating disease risks: Where exposomics meets metabolomics,"Sun J., Fang R., Wang H., Xu D.-X., Yang J., Huang X., Cozzolino D., Fang M., Huang Y.",2022,Environment International,"Humans are exposed to an ever-increasing number of environmental toxicants, some of which have gradually been elucidated to be important risk factors for metabolic diseases, such as diabetes and obesity. These metabolism-sensitive diseases typically occur when key metabolic and signaling pathways were disrupted, which can be influenced by the exposure to contaminants such as endocrine disrupting chemicals (EDCs), along with genetic and lifestyle factors. This promotes the concept and research on environmental metabolism disrupting chemicals (MDCs). In addition, identifying endogenous biochemical markers of effect linked to disease states is becoming an important tool to screen the biological targets following environmental contaminant exposure, as well as to provide an overview of toxicity risk assessment. As such, the current review aims to contribute to the further understanding of exposome and human health and disease by characterizing environmental exposure and effect metabolic biomarkers. We summarized MDC-associated metabolic biomarkers in laboratory animal and human cohort studies using high throughput targeted and nontargeted metabolomics techniques. Contaminants including heavy metals and organohalogen compounds, especially EDCs, have been repetitively associated with metabolic disorders, whereas emerging contaminants such as perfluoroalkyl substances and microplastics have also been found to disrupt metabolism. In addition, we found major limitations in the effective identification of metabolic biomarkers especially in human studies, toxicological research on the mixed effect of environmental exposure has also been insufficient compared to the research on single chemicals. Thus, it is timely to call for research efforts dedicated to the study of combined effect and metabolic alterations for the better assessment of exposomic toxicology and health risks. Moreover, advanced computational and prediction tools, further validation of metabolic biomarkers, as well as systematic and integrative investigations are also needed in order to reliably identify novel biomarkers and elucidate toxicity mechanisms, and to further utilize exposome and metabolome profiling in public health and safety management. © 2021",Biomarker; Endocrine disrupting chemical; Exposome; Metabolic disease; Metabolism disrupting chemical; Metabolome,Biomarkers; Endocrine disrupters; Health; Health risks; Heavy metals; Indicators (chemical); Risk assessment; Toxicity; Disease risks; Endocrine disrupting chemicals; Environmental exposure; Exposed to; Exposome; Metabolic biomarkers; Metabolic disease; Metabolism disrupting chemical; Metabolomes; Metabolomics; Metabolism; biomarker; disease; endocrine disruptor; health risk; metabolism; biological marker; endocrine disruptor; plastic; animal; environmental exposure; human; metabolomics; Animals; Biomarkers; Endocrine Disruptors; Environmental Exposure; Humans; Metabolomics; Plastics,Elsevier Ltd
